country_name,country_code,year,"Agriculture, forestry, and fishing, value added (current US$)",Arable land (hectares per person),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Fertilizer consumption (kilograms per hectare of arable land)
Eritrea,ERI,2000-01-01,88935064.9350649,0.249217745549572,384.0,124549.0,377.2,76.04,66.8255568109839,19.4642857142857
Eritrea,ERI,2001-01-01,114088472.191226,0.243071279138818,384.0,219052.0,637.1,94.39,65.8641552511416,9.72953736654804
Eritrea,ERI,2002-01-01,99200949.635748,0.234853809771757,384.0,54530.0,158.2,60.02,65.5219146912824,6.23665480427046
Eritrea,ERI,2003-01-01,102949684.501773,0.23938380923396,384.0,105944.0,261.0,71.37,65.9343586527145,1.6281407035175897
Eritrea,ERI,2004-01-01,118028569.356301,0.230151900254168,384.0,108798.0,275.3,72.86,65.8193755489583,0.005016722408027086
Eritrea,ERI,2005-01-01,248243981.276057,0.232976290904718,384.0,335563.0,758.2,123.87,65.5865036529261,2.3161290322580594
Eritrea,ERI,2006-01-01,297945821.138211,0.247826707729456,384.0,377202.0,798.5,114.78,65.5222751238659,0.016417910447761308
Eritrea,ERI,2007-01-01,319819434.146341,0.24423834454521,384.0,461996.0,938.5,133.04,65.2149265250785,3.48955223880597
Eritrea,ERI,2008-01-01,231544715.447154,0.237898511074886,384.0,105788.0,252.2,61.25,66.2355675389552,0.8165787129628077
Eritrea,ERI,2009-01-01,262243902.439024,0.238929181736807,384.0,226899.0,500.1,84.34,65.6285408941079,2.78260869565217
Eritrea,ERI,2010-01-01,190136235.8976625,0.234280619288561,384.0,231050.48,511.7,86.66,65.4194763614909,0.41739130434782634
Eritrea,ERI,2011-01-01,255243941.8575405,0.230116208685386,384.0,312366.22,649.1,99.46,64.2495338287273,0.821739130434783
Eritrea,ERI,2012-01-01,273094901.207134,0.227198790380469,384.0,304056.87,689.4,100.79,63.8140906571824,0.9836086956521743
Eritrea,ERI,2013-01-01,182376860.7678985,0.224436955984335,384.0,297926.22,669.8,100.04,64.84961772297,1.18894202898551
